Sample,Target,Cq Mean,Cq Std. Dev,Target,Cq Mean,Cq Std. Dev,dcq,ddcq,2^-ddcq,error,plus,minus,species,region,sample number
MC_Upp_2,UBC,24.61666667,0.182300119,CRC 2.00,30.81666667,0.208406654,6.2,0,1,0.276887462,1.211578147,0.825369789,Mc,upper,1
MC_Upp_3,UBC,24.57333333,0.176162803,CRC 2.00,28.05666667,0.05033223,3.483333333,-2.716666667,6.573522517,0.183212081,7.46363662,5.789563517,Mc,upper,2
MC_Upp_4,UBC,24.455,0.134350288,CRC 2.00,28.25,0.367695526,3.795,-2.405,5.296355642,0.391471583,6.947392387,4.037685152,Mc,upper,3
MC_N_2,UBC,22.79666667,0.162583312,CRC 2.00,20.19666667,0.040414519,-2.6,-8.8,445.7218884,0.167531092,500.6057638,396.8552026,Mc,nectary,2
MC_N_3,UBC,24.51333333,0.172143351,CRC 2.00,23.49333333,0.04163332,-1.02,-7.22,149.0858991,0.177106371,168.5585935,131.8627834,Mc,nectary,3
Mp_Upp_1,UBC,23.65,0.334215499,CRC 2.00,32.39,0.144222051,8.74,0,1,0.364005494,1.286994149,0.77700431,Mp,upper,1
Mp_Upp_2,UBC,23.89666667,0.523672926,CRC 2.00,33.43333333,0.381881308,9.536666667,0.796666667,0.57567774,0.648125502,0.902162257,0.367345073,Mp,upper,2
Mp_Upp_3,UBC,23.54666667,0.932862977,CRC 2.00,32.79,0.20808652,9.243333333,0.503333333,0.705474904,0.955789377,1.368367784,0.363714233,Mp,upper,3
Mp_Upp_4,UBC,23.51666667,0.066583281,CRC 2.00,32.50666667,0.051316014,8.99,0.25,0.840896415,0.084063468,0.891349708,0.793298943,Mp,upper,4
Mp_N_1,UBC,21.935,0.007071068,CRC 2.00,21.75333333,0.143643076,-0.181666667,-8.921666667,484.9414179,0.143817013,535.7750838,438.9307863,Mp,nectary,1
Mp_N_2,UBC,22.325,0.176776695,CRC 2.00,23.88666667,0.081445278,1.561666667,-7.178333333,144.8417129,0.194636413,165.7620278,126.5616866,Mp,nectary,2
Mp_N_3,UBC,22.165,0.16263456,CRC 2.00,23.22333333,0.09504385,1.058333333,-7.681666667,205.3109362,0.188370203,233.9468299,180.180174,Mp,nectary,3
Mp_N_4,UBC,22.85,0.510979452,CRC 2.00,22.98666667,0.066583281,0.136666667,-8.603333333,388.921002,0.515299266,555.8811301,272.1077181,Mp,nectary,4
Ml_Upp_1,UBC,21.505,0.205060967,CRC 2.00,28.74666667,0.097125349,7.241666667,0,1,0.22689939,1.170317024,0.854469327,Ml,upper,1
Ml_Upp_2,UBC,22.26666667,0.283783955,CRC 2.00,27.96,0.087177979,5.693333333,-3.046666667,8.263005721,0.296872588,10.15092473,6.726211197,Ml,upper,2
Ml_Upp_3,UBC,20.92,0.065574385,CRC 2.00,28.19,0.153948043,7.27,-1.47,2.770218936,0.167332005,3.110899968,2.466846582,Ml,upper,3
Ml_Upp_4,UBC,22.06666667,0.248260616,CRC 2.00,26.34,0.21,4.273333333,-4.466666667,22.11060608,0.325166624,27.70036902,17.64882269,Ml,upper,4
Ml_N_2,UBC,19.82333333,0.117189306,CRC 2.00,18.47,0.052915026,-1.353333333,-10.09333333,1092.436217,0.12858201,1194.271673,999.2842619,Ml,nectary,2
Ml_N_3,UBC,20.75333333,0.070945989,CRC 2.00,19.45333333,0.076376262,-1.3,-10.04,1052.788558,0.104243305,1131.674469,979.4015675,Ml,nectary,3
Ml_N_4,UBC,20.31666667,0.165025251,CRC 2.00,18.99666667,0.066583281,-1.32,-10.06,1067.484939,0.177951304,1207.620389,943.6111762,Ml,nectary,4
Mv_Upp_1,UBC,24.78666667,1.543675268,CRC 2.00,32.26666667,0.345880519,7.48,0,1,1.581950273,2.993742783,0.334030033,Mv,upper,1
Mv_Upp_2,UBC,22.68,0.070710678,CRC 2.00,31.66666667,0.210792157,8.986666667,0.246666667,0.842841545,0.222336082,0.983276736,0.722463823,Mv,upper,2
Mv_Upp_3,UBC,23.28666667,0.028867513,CRC 2.00,32.24666667,0.141891978,8.96,0.22,0.858565436,0.144798711,0.949209675,0.776577218,Mv,upper,3
Mv_Upp_4,UBC,23.41333333,0.880586925,CRC 2.00,31.53,0.098994949,8.116666667,-0.623333333,1.540430222,0.886133925,2.847048872,0.833468401,Mv,upper,4
Mv_N_1,UBC,22.60333333,0.23501773,CRC 2.00,25.86,0.183847763,3.256666667,-5.483333333,44.73503789,0.298384539,55.01365583,36.37685199,Mv,nectary,1
Mv_N_2,UBC,23.17333333,0.185022521,CRC 2.00,25.09666667,0.056862407,1.923333333,-6.816666667,112.7252318,0.193563082,128.9108378,98.57183546,Mv,nectary,2
Mv_N_3,UBC,24.52666667,0.061101009,CRC 2.00,26.81666667,0.047258156,2.29,-6.45,87.42657643,0.077244202,92.23511502,82.86872375,Mv,nectary,3
Mv_N_4,UBC,22.65,0.060827625,CRC 2.00,24.80333333,0.066583281,2.153333333,-6.586666667,96.11346583,0.090184995,102.3134259,90.28920924,Mv,nectary,4