Sample,Target,Cq Mean,Cq Std. Dev,Target,Cq Mean,Cq Std. Dev,,dcq,ddcq,2^-ddcq,error,plus,minus,species,region,sample number
MC_Upp_2,UBC,24.61666667,0.182300119,SWEET9,26.72333333,0.08326664,,2.106666667,0,1,0.200416234,1.149029815,0.870299436,Mc,upper,2
MC_Upp_3,UBC,24.57333333,0.176162803,SWEET9,24.9,0.042426407,,0.326666667,-1.78,3.434261746,0.181199706,3.893856468,3.028913324,Mc,upper,3
MC_Upp_4,UBC,24.455,0.134350288,SWEET9,24.45333333,0.292973264,,-0.001666667,-2.108333333,4.311928732,0.322309375,5.391335567,3.448631449,Mc,upper,4
MC_N_2,UBC,22.79666667,0.162583312,SWEET9,17.33666667,0.128970281,,-5.46,-7.566666667,189.5804867,0.207525099,218.9096535,164.180795,Mc,nectary,2
MC_N_3,UBC,24.51333333,0.172143351,SWEET9,20.28666667,0.032145503,,-4.226666667,-6.333333333,80.63494719,0.175119007,91.04149482,71.41792566,Mc,nectary,3
Mp_Upp_1,UBC,23.65,0.334215499,SWEET9,32.725,0.38890873,,9.075,0,1,0.512786505,1.426803347,0.700867434,Mp,upper,1
Mp_Upp_2,UBC,23.89666667,0.523672926,SWEET9,33.59,0.141421356,,9.693333333,0.618333333,0.651423047,0.542432792,0.948749719,0.447274953,Mp,upper,2
Mp_Upp_3,UBC,23.54666667,0.932862977,SWEET9,33.25333333,0.365011415,,9.706666667,0.631666667,0.645430354,1.001731834,1.292411208,0.322328017,Mp,upper,3
Mp_Upp_4,UBC,23.51666667,0.066583281,SWEET9,31.99,0.183847763,,8.473333333,-0.601666667,1.517468603,0.195533458,1.737725404,1.325129365,Mp,upper,4
Mp_N_1,UBC,21.935,0.007071068,SWEET9,18.685,0.417193001,,-3.25,-12.325,5130.913541,0.417252921,6851.73159,3842.280366,Mp,nectary,1
Mp_N_2,UBC,22.325,0.176776695,SWEET9,21.14333333,0.159478316,,-1.181666667,-10.25666667,1223.388298,0.238082619,1442.893682,1037.275959,Mp,nectary,2
Mp_N_3,UBC,22.165,0.16263456,SWEET9,20.04333333,0.097125349,,-2.121666667,-11.19666667,2347.104997,0.189428966,2676.432649,2058.300204,Mp,nectary,3
Mp_N_4,UBC,22.85,0.510979452,SWEET9,19.79,0.03,,-3.06,-12.135,4497.788165,0.511859356,6413.336346,3154.379762,Mp,nectary,4
Ml_Upp_1,UBC,21.505,0.205060967,SWEET9,27.95666667,0.453578365,,6.451666667,0,1,0.497778398,1.412037495,0.708196492,Ml,upper,1
Ml_Upp_2,UBC,22.26666667,0.283783955,SWEET9,26.76,0.540277706,,4.493333333,-4.581666667,23.94523463,0.610273163,36.55355533,15.68586848,Ml,upper,2
Ml_Upp_3,UBC,20.92,0.065574385,SWEET9,24.765,0.007071068,,3.845,-5.23,37.53071838,0.06595453,39.28630366,35.85358485,Ml,upper,3
Ml_Upp_4,UBC,22.06666667,0.248260616,SWEET9,22.785,0.021213203,,0.718333333,-8.356666667,327.7987782,0.249165273,389.5951587,275.8043486,Ml,upper,4
Ml_N_1,UBC,20.395,0.51618795,SWEET9,14.425,0.148492424,,-5.97,-15.045,33806.19442,0.53712196,49055.31921,23297.34674,Ml,nectary,1
Ml_N_2,UBC,19.82333333,0.117189306,SWEET9,14.39,0.043588989,,-5.433333333,-14.50833333,23304.7002,0.125033329,25414.54289,21370.01062,Ml,nectary,2
Ml_N_3,UBC,20.75333333,0.070945989,SWEET9,14.88333333,0.098657657,,-5.87,-14.945,31542.29471,0.121518174,34314.20177,28994.30277,Ml,nectary,3
Ml_N_4,UBC,20.31666667,0.165025251,SWEET9,15.18,0.105830052,,-5.136666667,-14.21166667,18973.08512,0.196044213,21734.67465,16562.38083,Ml,nectary,4
Mv_Upp_1,UBC,24.78666667,1.543675268,SWEET9,29.95,0.641170804,,5.163333333,0,1,1.67153622,3.185536172,0.313918897,Mv,upper,1
Mv_Upp_2,UBC,22.68,0.070710678,SWEET9,32.39333333,0.664931074,,9.713333333,0.638333333,0.642454713,0.668680292,1.021257702,0.404156617,Mv,upper,2
Mv_Upp_3,UBC,23.28666667,0.028867513,SWEET9,32.76,1.923330445,,9.473333333,0.398333333,0.758734301,1.923547071,2.878293552,0.200006611,Mv,upper,3
Mv_Upp_4,UBC,23.41333333,0.880586925,SWEET9,32.36,0,,8.946666667,-0.128333333,1.093030254,0.880586925,2.012404414,0.59367547,Mv,upper,4
Mv_N_1,UBC,22.60333333,0.23501773,SWEET9,22.24,0.113137085,,-0.363333333,-9.438333333,693.779467,0.260832002,831.26539,579.0328272,Mv,nectary,1
Mv_N_2,UBC,23.17333333,0.185022521,SWEET9,21.49,0.098488578,,-1.683333333,-10.75833333,1732.132206,0.209602799,2002.98532,1497.905126,Mv,nectary,2
Mv_N_3,UBC,24.52666667,0.061101009,SWEET9,23.09666667,0.075055535,,-1.43,-10.505,1453.182317,0.096781541,1554.011582,1358.895178,Mv,nectary,3
Mv_N_4,UBC,22.65,0.060827625,SWEET9,21.36666667,0.245831921,,-1.283333333,-10.35833333,1312.71074,0.253245599,1564.600843,1101.373232,Mv,nectary,4